drug_id,name,mechanism,targets,class,indications,side_effects,administration_route,description
719627,Celecoxib,COX-2 inhibitor,PTGS2,NSAID,"Osteoarthritis, Rheumatoid arthritis, Familial adenomatous polyposis","GI bleeding, cardiovascular events, rash",Oral,"A nonsteroidal anti-inflammatory drug that selectively inhibits COX-2, reducing inflammation with theoretically lower GI risk."
32065,Hydroxyurea,Ribonucleotide reductase inhibitor,"RRM1, RRM2",Chemotherapy,"Sickle cell anemia, Chronic myeloid leukemia (CML), Polycythemia vera","Myelosuppression, macrocytosis, hyperuricemia",Oral,An antimetabolite that prevents DNA synthesis; frequently used to reduce pain crises in sickle cell disease.
45923,Methoxsalen,Photosensitizer,DNA,Psoralen,"Psoriasis, Vitiligo, Cutaneous T-cell lymphoma","Photosensitivity, nausea, skin aging, increased skin cancer risk","Oral, Topical",A psoralen derivative used in conjunction with UVA radiation (PUVA therapy) to treat severe skin disorders.
747974,Raloxifene hydrochloride,Selective estrogen receptor modulator,ESR1,SERM,"Breast cancer prevention, Postmenopausal osteoporosis","Hot flashes, deep vein thrombosis (DVT), leg cramps",Oral,A SERM that acts as an estrogen agonist in bone but an antagonist in breast tissue.
743414,Imatinib mesylate,Tyrosine kinase inhibitor,"BCR-ABL, KIT, PDGFR",Targeted Therapy,"Chronic myeloid leukemia (CML), Gastrointestinal stromal tumors (GIST)","Fluid retention, periorbital edema, nausea, muscle cramps",Oral,A revolutionary targeted therapy that specifically inhibits the BCR-ABL tyrosine kinase in Philadelphia chromosome-positive CML.
701852,Vorinostat,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC6",Targeted Therapy,Cutaneous T-cell lymphoma (CTCL),"Fatigue, nausea, diarrhea, thrombocytopenia",Oral,"A histone deacetylase (HDAC) inhibitor that alters gene expression, inducing apoptosis in cancer cells."
362856,Temozolomide,Alkylating agent,DNA,Chemotherapy,"Glioblastoma multiforme, Anaplastic astrocytoma","Nausea, vomiting, myelosuppression, fatigue","Oral, Intravenous","An alkylating agent that readily crosses the blood-brain barrier, making it a cornerstone for brain tumor treatment."
122819,Teniposide,Topoisomerase II inhibitor,TOP2A,Chemotherapy,Acute lymphoblastic leukemia (ALL),"Myelosuppression, mucositis, alopecia, hypersensitivity",Intravenous,A cell cycle-specific topoisomerase II inhibitor used primarily in pediatric leukemias.
66847,Thalidomide,Immunomodulatory drug,Cereblon,Immunotherapy,"Multiple myeloma, Erythema nodosum leprosum","Teratogenicity (phocomelia), neuropathy, sedation, thrombosis",Oral,"An immunomodulatory drug infamous for historical birth defects, now highly restricted and used for specific cancers and leprosy."
82151,Daunorubicin hydrochloride,Anthracycline/DNA Intercalator,"DNA, TOP2A",Chemotherapy,"Acute myeloid leukemia (AML), Acute lymphoblastic leukemia (ALL)","Cardiotoxicity, myelosuppression, red urine, alopecia",Intravenous,"An anthracycline antibiotic that intercalates DNA, primarily used for induction therapy in leukemias."
123127,Doxorubicin hydrochloride,Anthracycline/DNA Intercalator,"DNA, TOP2A",Chemotherapy,"Breast cancer, Lymphomas, Sarcomas","Dilated cardiomyopathy, myelosuppression, alopecia, red urine",Intravenous,"A widely used anthracycline known colloquially as the ""Red Devil"" due to its color and severe side effects."
125973,Paclitaxel,Microtubule stabilizer,Tubulin,Chemotherapy,"Breast cancer, Ovarian cancer, Non-small cell lung cancer","Peripheral neuropathy, neutropenia, alopecia, hypersensitivity",Intravenous,"A taxane derived from the Pacific yew tree that stabilizes microtubules, preventing cellular division."
141540,Etoposide,Topoisomerase II inhibitor,TOP2A,Chemotherapy,"Testicular cancer, Small cell lung cancer","Myelosuppression, alopecia, nausea, secondary leukemias","Oral, Intravenous","A topoisomerase II inhibitor that causes DNA strand breaks, often combined with platinum agents."
713563,Exemestane,Aromatase inhibitor,CYP19A1,Hormone Therapy,"Breast cancer (ER-positive, postmenopausal)","Hot flashes, joint pain, osteoporosis, fatigue",Oral,"An irreversible, steroidal aromatase inhibitor that prevents the conversion of androgens to estrogens."
721517,Zoledronic acid,Bisphosphonate/FPPS inhibitor,FDPS,Bone-modifying agent,"Multiple myeloma, Bone metastases, Hypercalcemia of malignancy","Osteonecrosis of the jaw, renal toxicity, flu-like symptoms",Intravenous,A potent bisphosphonate that inhibits osteoclast-mediated bone resorption.
715055,Gefitinib,EGFR inhibitor,EGFR,Targeted Therapy,Non-small cell lung cancer (EGFR-mutated),"Acneiform rash, diarrhea, interstitial lung disease",Oral,A first-generation EGFR tyrosine kinase inhibitor used in lung cancers with specific EGFR mutations.
740,Methotrexate,Antifolate,DHFR,Chemotherapy,"Rheumatoid arthritis, Psoriasis, ALL, Osteosarcoma","Hepatotoxicity, myelosuppression, pulmonary fibrosis, mucositis","Oral, Intravenous, Intrathecal, Subcutaneous",A cornerstone antifolate drug used across oncology and rheumatology; toxicity can be rescued with leucovorin.
749226,Abiraterone,CYP17A1 inhibitor,CYP17A1,Hormone Therapy,Prostate cancer (metastatic castration-resistant),"Hypertension, hypokalemia, edema, hepatotoxicity",Oral,"An androgen biosynthesis inhibitor that blocks CYP17A1, usually given with prednisone to prevent adrenal insufficiency."
628503,Docetaxel,Microtubule stabilizer,Tubulin,Chemotherapy,"Breast cancer, Prostate cancer, Non-small cell lung cancer","Neutropenia, fluid retention, peripheral neuropathy, alopecia",Intravenous,"A potent taxane that prevents microtubule depolymerization, often requiring corticosteroid premedication."
745750,Lapatinib ditosylate,EGFR/HER2 inhibitor,"EGFR, HER2",Targeted Therapy,Breast cancer (HER2-positive),"Diarrhea, hepatotoxicity, rash, decreased left ventricular ejection fraction",Oral,A dual tyrosine kinase inhibitor that blocks both EGFR and HER2 pathways.
747971,Sorafenib tosylate,Multikinase inhibitor,"VEGFR, PDGFR, RAF",Targeted Therapy,"Hepatocellular carcinoma, Renal cell carcinoma, Thyroid cancer","Hand-foot syndrome, rash, diarrhea, hypertension",Oral,"A multikinase inhibitor targeting VEGF, PDGF, and RAF kinases to halt tumor angiogenesis and proliferation."
747972,Lenalidomide,Immunomodulatory drug,Cereblon,Immunotherapy,"Multiple myeloma, Myelodysplastic syndromes (MDS)","Myelosuppression, deep vein thrombosis (DVT), teratogenicity",Oral,"A thalidomide analog with enhanced immunomodulatory and anti-angiogenic properties, requiring strict REMS prescribing."
681239,Bortezomib,Proteasome inhibitor,26S Proteasome,Targeted Therapy,"Multiple myeloma, Mantle cell lymphoma","Peripheral neuropathy, thrombocytopenia, fatigue, GI upset","Intravenous, Subcutaneous","The first therapeutic proteasome inhibitor; it disrupts cellular protein degradation, leading to cancer cell death."
241240,Carboplatin,Alkylating agent (Platinum),DNA,Chemotherapy,"Ovarian cancer, Lung cancer","Myelosuppression (especially thrombocytopenia), nausea, nephrotoxicity",Intravenous,A platinum-based alkylating agent similar to cisplatin but with less nephrotoxicity and neurotoxicity.
122758,Tretinoin,Retinoic acid receptor agonist,"RAR alpha, beta, gamma",Differentiation Agent,"Acute promyelocytic leukemia (APL), Acne (topical)","Retinoic acid syndrome, dry skin, headache, hepatotoxicity","Oral, Topical",A vitamin A derivative that induces differentiation of leukemic promyelocytes into mature granulocytes.
3053,Dactinomycin,RNA synthesis inhibitor,DNA,Chemotherapy,"Wilms tumor, Rhabdomyosarcoma, Ewing sarcoma","Myelosuppression, severe nausea, mucositis, alopecia",Intravenous,"An antitumor antibiotic that binds DNA and inhibits RNA transcription, primarily used in pediatric solid tumors."
747599,Nilotinib,Tyrosine kinase inhibitor,BCR-ABL,Targeted Therapy,Chronic myeloid leukemia (CML),"QT prolongation, rash, headache, myelosuppression",Oral,"A second-generation BCR-ABL inhibitor used for CML, particularly when resistance to imatinib develops."
180973,Tamoxifen citrate,Selective estrogen receptor modulator (SERM),ESR1,Hormone Therapy,Breast cancer (ER-positive),"Hot flashes, deep vein thrombosis (DVT), endometrial cancer risk",Oral,"A SERM that is an estrogen antagonist in the breast but an agonist in the uterus, widely used for breast cancer prevention and treatment."
732517,Dasatinib,Bcr-Abl/Src inhibitor,"BCR-ABL, SRC",Targeted Therapy,"Chronic myeloid leukemia (CML), ALL (Ph-positive)","Pleural effusion, myelosuppression, bleeding, fluid retention",Oral,A highly potent second-generation tyrosine kinase inhibitor targeting BCR-ABL and SRC families.
760766,Vandetanib,Multikinase inhibitor,"VEGFR, EGFR, RET",Targeted Therapy,Medullary thyroid cancer,"QT prolongation, diarrhea, rash, hypertension",Oral,"A kinase inhibitor that targets RET, VEGFR, and EGFR, requiring strict EKG monitoring."
226080,Sirolimus,mTOR inhibitor,mTORC1,Immunosuppressant,"Kidney transplant rejection prophylaxis, Lymphangioleiomyomatosis","Impaired wound healing, hyperlipidemia, myelosuppression, mouth ulcers",Oral,An mTOR inhibitor (also known as rapamycin) that suppresses T-cell activation; avoids the nephrotoxicity seen in calcineurin inhibitors.
750690,Sunitinib,Multikinase inhibitor,"VEGFR, PDGFR, KIT",Targeted Therapy,"Renal cell carcinoma, Gastrointestinal stromal tumors (GIST)","Fatigue, hypertension, hand-foot syndrome, hypothyroidism",Oral,A targeted multikinase inhibitor that restricts tumor blood supply and growth.
754143,Romidepsin,HDAC inhibitor,"HDAC1, HDAC2",Targeted Therapy,Cutaneous T-cell lymphoma (CTCL),"Nausea, fatigue, infections, ECG changes",Intravenous,A cyclic depsipeptide HDAC inhibitor that induces cell cycle arrest and apoptosis in T-cell lymphomas.
67574,Vincristine sulfate,Microtubule disruptor,Tubulin,Chemotherapy,"Acute lymphoblastic leukemia (ALL), Lymphomas, Neuroblastoma","Peripheral neuropathy, paralytic ileus, alopecia (spares bone marrow)",Intravenous,A vinca alkaloid that halts cell division; distinct among chemotherapies for its lack of severe myelosuppression.
733504,Everolimus,mTOR inhibitor,mTORC1,Targeted Therapy,"Breast cancer, Renal cell carcinoma, Neuroendocrine tumors","Stomatitis, immunosuppression, pneumonitis, hyperglycemia",Oral,An mTOR inhibitor that blocks a crucial pathway for cell growth and angiogenesis.
757441,Axitinib,VEGFR inhibitor,"VEGFR1, VEGFR2, VEGFR3",Targeted Therapy,Renal cell carcinoma,"Hypertension, diarrhea, fatigue, dysphonia",Oral,"A highly selective, potent VEGFR inhibitor used primarily as second-line therapy for advanced kidney cancer."
756645,Crizotinib,ALK/ROS1 inhibitor,"ALK, ROS1, MET",Targeted Therapy,Non-small cell lung cancer (ALK or ROS1 positive),"Vision disorders, nausea, edema, elevated transaminases",Oral,A targeted therapy specifically designed for lung cancers driven by ALK or ROS1 gene rearrangements.
761431,Vemurafenib,BRAF inhibitor,BRAF V600E,Targeted Therapy,Melanoma (BRAF V600E mutated),"Squamous cell carcinoma of the skin, photosensitivity, arthralgia",Oral,A targeted inhibitor that interrupts the BRAF/MEK step on the MAP kinase pathway in specific melanomas.
71423,Megestrol acetate,Progestin,Progesterone receptor,Hormone Therapy,"Cachexia/anorexia (HIV or cancer), Breast/Endometrial cancer","Weight gain, thromboembolism, edema, hyperglycemia",Oral,A synthetic progestin primarily utilized as an appetite stimulant in patients with severe wasting syndromes.
